STATISTIC Label,Month,Selected Base Reference Period,UNIT,VALUE
Consumer Price Index,1928 April,Base November 1982=100,Base = 100,
Consumer Price Index,1928 April,Base November 1989=100,Base = 100,
Consumer Price Index,1928 April,Base November 1996=100,Base = 100,
Consumer Price Index,1928 April,Base December 2001=100,Base = 100,
Consumer Price Index,1928 April,Base December 2006=100,Base = 100,
Consumer Price Index,1928 April,Base December 2011=100,Base = 100,
Consumer Price Index,1928 April,Base December 2016=100,Base = 100,
Consumer Price Index,1928 April,Base December 2023=100,Base = 100,
Consumer Price Index,1928 May,Base July 1914=100,Base = 100,170
Consumer Price Index,1928 May,Base August 1947=100,Base = 100,
Consumer Price Index,1928 May,Base August 1953=100,Base = 100,
Consumer Price Index,1928 May,Base November 1968=100,Base = 100,
Consumer Price Index,1928 May,Base November 1975=100,Base = 100,
Consumer Price Index,1928 May,Base November 1982=100,Base = 100,
Consumer Price Index,1928 May,Base November 1989=100,Base = 100,
Consumer Price Index,1928 May,Base November 1996=100,Base = 100,
Consumer Price Index,1928 May,Base December 2001=100,Base = 100,
Consumer Price Index,1928 May,Base December 2006=100,Base = 100,
Consumer Price Index,1928 May,Base December 2011=100,Base = 100,
Consumer Price Index,1928 May,Base December 2016=100,Base = 100,
Consumer Price Index,1928 May,Base December 2023=100,Base = 100,
Consumer Price Index,1928 June,Base July 1914=100,Base = 100,170
Consumer Price Index,1928 June,Base August 1947=100,Base = 100,
Consumer Price Index,1928 June,Base August 1953=100,Base = 100,
Consumer Price Index,1928 June,Base November 1968=100,Base = 100,
Consumer Price Index,1928 June,Base November 1975=100,Base = 100,
Consumer Price Index,1928 June,Base November 1982=100,Base = 100,
Consumer Price Index,1928 June,Base November 1989=100,Base = 100,
Consumer Price Index,1928 June,Base November 1996=100,Base = 100,
Consumer Price Index,1928 June,Base December 2001=100,Base = 100,
Consumer Price Index,1928 June,Base December 2006=100,Base = 100,
Consumer Price Index,1928 June,Base December 2011=100,Base = 100,
Consumer Price Index,1928 June,Base December 2016=100,Base = 100,
Consumer Price Index,1928 June,Base December 2023=100,Base = 100,
Consumer Price Index,1928 July,Base July 1914=100,Base = 100,173
Consumer Price Index,1928 July,Base August 1947=100,Base = 100,
Consumer Price Index,1928 July,Base August 1953=100,Base = 100,
Consumer Price Index,1928 July,Base November 1968=100,Base = 100,
Consumer Price Index,1928 July,Base November 1975=100,Base = 100,
Consumer Price Index,1928 July,Base November 1982=100,Base = 100,
Consumer Price Index,1928 July,Base November 1989=100,Base = 100,
Consumer Price Index,1928 July,Base November 1996=100,Base = 100,
Consumer Price Index,1928 July,Base December 2001=100,Base = 100,
Consumer Price Index,1928 July,Base December 2006=100,Base = 100,
Consumer Price Index,1928 July,Base December 2011=100,Base = 100,
Consumer Price Index,1928 July,Base December 2016=100,Base = 100,
Consumer Price Index,1928 July,Base December 2023=100,Base = 100,
Consumer Price Index,1928 August,Base July 1914=100,Base = 100,173
Consumer Price Index,1928 August,Base August 1947=100,Base = 100,
Consumer Price Index,1928 August,Base August 1953=100,Base = 100,
Consumer Price Index,1928 August,Base November 1968=100,Base = 100,
Consumer Price Index,1928 August,Base November 1975=100,Base = 100,
Consumer Price Index,1928 August,Base November 1982=100,Base = 100,
Consumer Price Index,1928 August,Base November 1989=100,Base = 100,
Consumer Price Index,1928 August,Base November 1996=100,Base = 100,
Consumer Price Index,1928 August,Base December 2001=100,Base = 100,
Consumer Price Index,1928 August,Base December 2006=100,Base = 100,
Consumer Price Index,1928 August,Base December 2011=100,Base = 100,
Consumer Price Index,1928 August,Base December 2016=100,Base = 100,
Consumer Price Index,1928 August,Base December 2023=100,Base = 100,
Consumer Price Index,1928 September,Base July 1914=100,Base = 100,173
Consumer Price Index,1928 September,Base August 1947=100,Base = 100,
Consumer Price Index,1928 September,Base August 1953=100,Base = 100,
Consumer Price Index,1928 September,Base November 1968=100,Base = 100,
Consumer Price Index,1928 September,Base November 1975=100,Base = 100,
Consumer Price Index,1928 September,Base November 1982=100,Base = 100,
Consumer Price Index,1928 September,Base November 1989=100,Base = 100,
Consumer Price Index,1928 September,Base November 1996=100,Base = 100,
Consumer Price Index,1928 September,Base December 2001=100,Base = 100,
Consumer Price Index,1928 September,Base December 2006=100,Base = 100,
Consumer Price Index,1928 September,Base December 2011=100,Base = 100,
Consumer Price Index,1928 September,Base December 2016=100,Base = 100,
Consumer Price Index,1928 September,Base December 2023=100,Base = 100,
Consumer Price Index,1928 October,Base July 1914=100,Base = 100,176
Consumer Price Index,1928 October,Base August 1947=100,Base = 100,
Consumer Price Index,1928 October,Base August 1953=100,Base = 100,
Consumer Price Index,1928 October,Base November 1968=100,Base = 100,
Consumer Price Index,1928 October,Base November 1975=100,Base = 100,
Consumer Price Index,1928 October,Base November 1982=100,Base = 100,
Consumer Price Index,1928 October,Base November 1989=100,Base = 100,
Consumer Price Index,1928 October,Base November 1996=100,Base = 100,
Consumer Price Index,1928 October,Base December 2001=100,Base = 100,
Consumer Price Index,1928 October,Base December 2006=100,Base = 100,
Consumer Price Index,1928 October,Base December 2011=100,Base = 100,
Consumer Price Index,1928 October,Base December 2016=100,Base = 100,
Consumer Price Index,1928 October,Base December 2023=100,Base = 100,
Consumer Price Index,1928 November,Base July 1914=100,Base = 100,176
Consumer Price Index,1928 November,Base August 1947=100,Base = 100,
Consumer Price Index,1928 November,Base August 1953=100,Base = 100,
Consumer Price Index,1928 November,Base November 1968=100,Base = 100,
Consumer Price Index,1928 November,Base November 1975=100,Base = 100,
Consumer Price Index,1928 November,Base November 1982=100,Base = 100,
Consumer Price Index,1928 November,Base November 1989=100,Base = 100,
Consumer Price Index,1928 November,Base November 1996=100,Base = 100,
Consumer Price Index,1928 November,Base December 2001=100,Base = 100,
Consumer Price Index,1928 November,Base December 2006=100,Base = 100,
Consumer Price Index,1928 November,Base December 2011=100,Base = 100,
Consumer Price Index,1928 November,Base December 2016=100,Base = 100,
Consumer Price Index,1928 November,Base December 2023=100,Base = 100,
Consumer Price Index,1928 December,Base July 1914=100,Base = 100,176
Consumer Price Index,1928 December,Base August 1947=100,Base = 100,
Consumer Price Index,1928 December,Base August 1953=100,Base = 100,
Consumer Price Index,1928 December,Base November 1968=100,Base = 100,
Consumer Price Index,1928 December,Base November 1975=100,Base = 100,
Consumer Price Index,1928 December,Base November 1982=100,Base = 100,
Consumer Price Index,1928 December,Base November 1989=100,Base = 100,
Consumer Price Index,1928 December,Base November 1996=100,Base = 100,
Consumer Price Index,1928 December,Base December 2001=100,Base = 100,
Consumer Price Index,1928 December,Base December 2006=100,Base = 100,
Consumer Price Index,1928 December,Base December 2011=100,Base = 100,
Consumer Price Index,1928 December,Base December 2016=100,Base = 100,
Consumer Price Index,1928 December,Base December 2023=100,Base = 100,
Consumer Price Index,1929 January,Base July 1914=100,Base = 100,177
Consumer Price Index,1929 January,Base August 1947=100,Base = 100,
Consumer Price Index,1929 January,Base August 1953=100,Base = 100,
Consumer Price Index,1929 January,Base November 1968=100,Base = 100,
Consumer Price Index,1929 January,Base November 1975=100,Base = 100,
Consumer Price Index,1929 January,Base November 1982=100,Base = 100,
Consumer Price Index,1929 January,Base November 1989=100,Base = 100,
Consumer Price Index,1929 January,Base November 1996=100,Base = 100,
Consumer Price Index,1929 January,Base December 2001=100,Base = 100,
Consumer Price Index,1929 January,Base December 2006=100,Base = 100,
Consumer Price Index,1929 January,Base December 2011=100,Base = 100,
Consumer Price Index,1929 January,Base December 2016=100,Base = 100,
Consumer Price Index,1929 January,Base December 2023=100,Base = 100,
Consumer Price Index,1929 February,Base July 1914=100,Base = 100,177
Consumer Price Index,1929 February,Base August 1947=100,Base = 100,
Consumer Price Index,1929 February,Base August 1953=100,Base = 100,
Consumer Price Index,1929 February,Base November 1968=100,Base = 100,
Consumer Price Index,1929 February,Base November 1975=100,Base = 100,
Consumer Price Index,1929 February,Base November 1982=100,Base = 100,
Consumer Price Index,1929 February,Base November 1989=100,Base = 100,
Consumer Price Index,1929 February,Base November 1996=100,Base = 100,
Consumer Price Index,1929 February,Base December 2001=100,Base = 100,
Consumer Price Index,1929 February,Base December 2006=100,Base = 100,
Consumer Price Index,1929 February,Base December 2011=100,Base = 100,
Consumer Price Index,1929 February,Base December 2016=100,Base = 100,
Consumer Price Index,1929 February,Base December 2023=100,Base = 100,
Consumer Price Index,1929 March,Base July 1914=100,Base = 100,177
Consumer Price Index,1929 March,Base August 1947=100,Base = 100,
Consumer Price Index,1929 March,Base August 1953=100,Base = 100,
Consumer Price Index,1929 March,Base November 1968=100,Base = 100,
Consumer Price Index,1929 March,Base November 1975=100,Base = 100,
Consumer Price Index,1929 March,Base November 1982=100,Base = 100,
Consumer Price Index,1929 March,Base November 1989=100,Base = 100,
Consumer Price Index,1929 March,Base November 1996=100,Base = 100,
Consumer Price Index,1929 March,Base December 2001=100,Base = 100,
Consumer Price Index,1929 March,Base December 2006=100,Base = 100,
Consumer Price Index,1929 March,Base December 2011=100,Base = 100,
Consumer Price Index,1929 March,Base December 2016=100,Base = 100,
Consumer Price Index,1929 March,Base December 2023=100,Base = 100,
Consumer Price Index,1929 April,Base July 1914=100,Base = 100,173
Consumer Price Index,1929 April,Base August 1947=100,Base = 100,
Consumer Price Index,1929 April,Base August 1953=100,Base = 100,
Consumer Price Index,1929 April,Base November 1968=100,Base = 100,
Consumer Price Index,1929 April,Base November 1975=100,Base = 100,
Consumer Price Index,1929 April,Base November 1982=100,Base = 100,
Consumer Price Index,1929 April,Base November 1989=100,Base = 100,
Consumer Price Index,1929 April,Base November 1996=100,Base = 100,
Consumer Price Index,1929 April,Base December 2001=100,Base = 100,
Consumer Price Index,1929 April,Base December 2006=100,Base = 100,
Consumer Price Index,1929 April,Base December 2011=100,Base = 100,
Consumer Price Index,1929 April,Base December 2016=100,Base = 100,
Consumer Price Index,1929 April,Base December 2023=100,Base = 100,
Consumer Price Index,1929 May,Base July 1914=100,Base = 100,173
Consumer Price Index,1929 May,Base August 1947=100,Base = 100,
Consumer Price Index,1929 May,Base August 1953=100,Base = 100,
Consumer Price Index,1929 May,Base November 1968=100,Base = 100,
Consumer Price Index,1929 May,Base November 1975=100,Base = 100,
Consumer Price Index,1929 May,Base November 1982=100,Base = 100,
Consumer Price Index,1929 May,Base November 1989=100,Base = 100,
Consumer Price Index,1929 May,Base November 1996=100,Base = 100,
Consumer Price Index,1929 May,Base December 2001=100,Base = 100,
Consumer Price Index,1929 May,Base December 2006=100,Base = 100,
Consumer Price Index,1929 May,Base December 2011=100,Base = 100,
Consumer Price Index,1929 May,Base December 2016=100,Base = 100,
Consumer Price Index,1929 May,Base December 2023=100,Base = 100,
Consumer Price Index,1929 June,Base July 1914=100,Base = 100,173
Consumer Price Index,1929 June,Base August 1947=100,Base = 100,
Consumer Price Index,1929 June,Base August 1953=100,Base = 100,
Consumer Price Index,1929 June,Base November 1968=100,Base = 100,
Consumer Price Index,1929 June,Base November 1975=100,Base = 100,
Consumer Price Index,1929 June,Base November 1982=100,Base = 100,
Consumer Price Index,1929 June,Base November 1989=100,Base = 100,
Consumer Price Index,1929 June,Base November 1996=100,Base = 100,
Consumer Price Index,1929 June,Base December 2001=100,Base = 100,
Consumer Price Index,1929 June,Base December 2006=100,Base = 100,
Consumer Price Index,1929 June,Base December 2011=100,Base = 100,
Consumer Price Index,1929 June,Base December 2016=100,Base = 100,
Consumer Price Index,1929 June,Base December 2023=100,Base = 100,
Consumer Price Index,1929 July,Base July 1914=100,Base = 100,174
Consumer Price Index,1929 July,Base August 1947=100,Base = 100,
Consumer Price Index,1929 July,Base August 1953=100,Base = 100,
Consumer Price Index,1929 July,Base November 1968=100,Base = 100,
Consumer Price Index,1929 July,Base November 1975=100,Base = 100,
Consumer Price Index,1929 July,Base November 1982=100,Base = 100,
Consumer Price Index,1929 July,Base November 1989=100,Base = 100,
Consumer Price Index,1929 July,Base November 1996=100,Base = 100,
Consumer Price Index,1929 July,Base December 2001=100,Base = 100,
Consumer Price Index,1929 July,Base December 2006=100,Base = 100,
Consumer Price Index,1929 July,Base December 2011=100,Base = 100,
Consumer Price Index,1929 July,Base December 2016=100,Base = 100,
Consumer Price Index,1929 July,Base December 2023=100,Base = 100,
Consumer Price Index,1929 August,Base July 1914=100,Base = 100,174
Consumer Price Index,1929 August,Base August 1947=100,Base = 100,
Consumer Price Index,1929 August,Base August 1953=100,Base = 100,
Consumer Price Index,1929 August,Base November 1968=100,Base = 100,
Consumer Price Index,1929 August,Base November 1975=100,Base = 100,
Consumer Price Index,1929 August,Base November 1982=100,Base = 100,
Consumer Price Index,1929 August,Base November 1989=100,Base = 100,
Consumer Price Index,1929 August,Base November 1996=100,Base = 100,
Consumer Price Index,1929 August,Base December 2001=100,Base = 100,
Consumer Price Index,1929 August,Base December 2006=100,Base = 100,
Consumer Price Index,1929 August,Base December 2011=100,Base = 100,
Consumer Price Index,1929 August,Base December 2016=100,Base = 100,
Consumer Price Index,1929 August,Base December 2023=100,Base = 100,
Consumer Price Index,1929 September,Base July 1914=100,Base = 100,174
Consumer Price Index,1929 September,Base August 1947=100,Base = 100,
Consumer Price Index,1929 September,Base August 1953=100,Base = 100,
Consumer Price Index,1929 September,Base November 1968=100,Base = 100,
Consumer Price Index,1929 September,Base November 1975=100,Base = 100,
Consumer Price Index,1929 September,Base November 1982=100,Base = 100,
Consumer Price Index,1929 September,Base November 1989=100,Base = 100,
Consumer Price Index,1929 September,Base November 1996=100,Base = 100,
Consumer Price Index,1929 September,Base December 2001=100,Base = 100,
Consumer Price Index,1929 September,Base December 2006=100,Base = 100,
Consumer Price Index,1929 September,Base December 2011=100,Base = 100,
Consumer Price Index,1929 September,Base December 2016=100,Base = 100,
Consumer Price Index,1929 September,Base December 2023=100,Base = 100,
Consumer Price Index,1929 October,Base July 1914=100,Base = 100,179
Consumer Price Index,1929 October,Base August 1947=100,Base = 100,
Consumer Price Index,1929 October,Base August 1953=100,Base = 100,
Consumer Price Index,1929 October,Base November 1968=100,Base = 100,
Consumer Price Index,1929 October,Base November 1975=100,Base = 100,
Consumer Price Index,1929 October,Base November 1982=100,Base = 100,
Consumer Price Index,1929 October,Base November 1989=100,Base = 100,
Consumer Price Index,1929 October,Base November 1996=100,Base = 100,
Consumer Price Index,1929 October,Base December 2001=100,Base = 100,
Consumer Price Index,1929 October,Base December 2006=100,Base = 100,
Consumer Price Index,1929 October,Base December 2011=100,Base = 100,
Consumer Price Index,1929 October,Base December 2016=100,Base = 100,
Consumer Price Index,1929 October,Base December 2023=100,Base = 100,
Consumer Price Index,1929 November,Base July 1914=100,Base = 100,179
Consumer Price Index,1929 November,Base August 1947=100,Base = 100,
Consumer Price Index,1929 November,Base August 1953=100,Base = 100,
Consumer Price Index,1929 November,Base November 1968=100,Base = 100,
Consumer Price Index,1929 November,Base November 1975=100,Base = 100,
Consumer Price Index,1929 November,Base November 1982=100,Base = 100,
Consumer Price Index,1929 November,Base November 1989=100,Base = 100,
Consumer Price Index,1929 November,Base November 1996=100,Base = 100,
Consumer Price Index,1929 November,Base December 2001=100,Base = 100,
Consumer Price Index,1929 November,Base December 2006=100,Base = 100,
Consumer Price Index,1929 November,Base December 2011=100,Base = 100,
Consumer Price Index,1929 November,Base December 2016=100,Base = 100,
Consumer Price Index,1929 November,Base December 2023=100,Base = 100,
Consumer Price Index,1929 December,Base July 1914=100,Base = 100,179
Consumer Price Index,1929 December,Base August 1947=100,Base = 100,
Consumer Price Index,1929 December,Base August 1953=100,Base = 100,
Consumer Price Index,1929 December,Base November 1968=100,Base = 100,
Consumer Price Index,1929 December,Base November 1975=100,Base = 100,
Consumer Price Index,1929 December,Base November 1982=100,Base = 100,
Consumer Price Index,1929 December,Base November 1989=100,Base = 100,
Consumer Price Index,1929 December,Base November 1996=100,Base = 100,
Consumer Price Index,1929 December,Base December 2001=100,Base = 100,
Consumer Price Index,1929 December,Base December 2006=100,Base = 100,
Consumer Price Index,1929 December,Base December 2011=100,Base = 100,
Consumer Price Index,1929 December,Base December 2016=100,Base = 100,
Consumer Price Index,1929 December,Base December 2023=100,Base = 100,
Consumer Price Index,1930 January,Base July 1914=100,Base = 100,179
Consumer Price Index,1930 January,Base August 1947=100,Base = 100,
Consumer Price Index,1930 January,Base August 1953=100,Base = 100,
Consumer Price Index,1930 January,Base November 1968=100,Base = 100,
Consumer Price Index,1930 January,Base November 1975=100,Base = 100,
Consumer Price Index,1930 January,Base November 1982=100,Base = 100,
Consumer Price Index,1930 January,Base November 1989=100,Base = 100,
Consumer Price Index,1930 January,Base November 1996=100,Base = 100,
Consumer Price Index,1930 January,Base December 2001=100,Base = 100,
Consumer Price Index,1930 January,Base December 2006=100,Base = 100,
Consumer Price Index,1930 January,Base December 2011=100,Base = 100,
Consumer Price Index,1930 January,Base December 2016=100,Base = 100,
Consumer Price Index,1930 January,Base December 2023=100,Base = 100,
Consumer Price Index,1930 February,Base July 1914=100,Base = 100,179
Consumer Price Index,1930 February,Base August 1947=100,Base = 100,
Consumer Price Index,1930 February,Base August 1953=100,Base = 100,
Consumer Price Index,1930 February,Base November 1968=100,Base = 100,
Consumer Price Index,1930 February,Base November 1975=100,Base = 100,
Consumer Price Index,1930 February,Base November 1982=100,Base = 100,
Consumer Price Index,1930 February,Base November 1989=100,Base = 100,
Consumer Price Index,1930 February,Base November 1996=100,Base = 100,
Consumer Price Index,1930 February,Base December 2001=100,Base = 100,
Consumer Price Index,1930 February,Base December 2006=100,Base = 100,
Consumer Price Index,1930 February,Base December 2011=100,Base = 100,
Consumer Price Index,1930 February,Base December 2016=100,Base = 100,
Consumer Price Index,1930 February,Base December 2023=100,Base = 100,
Consumer Price Index,1930 March,Base July 1914=100,Base = 100,179
Consumer Price Index,1930 March,Base August 1947=100,Base = 100,
Consumer Price Index,1930 March,Base August 1953=100,Base = 100,
Consumer Price Index,1930 March,Base November 1968=100,Base = 100,
Consumer Price Index,1930 March,Base November 1975=100,Base = 100,
Consumer Price Index,1930 March,Base November 1982=100,Base = 100,
Consumer Price Index,1930 March,Base November 1989=100,Base = 100,
Consumer Price Index,1930 March,Base November 1996=100,Base = 100,
Consumer Price Index,1930 March,Base December 2001=100,Base = 100,
Consumer Price Index,1930 March,Base December 2006=100,Base = 100,
Consumer Price Index,1930 March,Base December 2011=100,Base = 100,
Consumer Price Index,1930 March,Base December 2016=100,Base = 100,
Consumer Price Index,1930 March,Base December 2023=100,Base = 100,
Consumer Price Index,1930 April,Base July 1914=100,Base = 100,168
Consumer Price Index,1930 April,Base August 1947=100,Base = 100,
Consumer Price Index,1930 April,Base August 1953=100,Base = 100,
Consumer Price Index,1930 April,Base November 1968=100,Base = 100,
Consumer Price Index,1930 April,Base November 1975=100,Base = 100,
Consumer Price Index,1930 April,Base November 1982=100,Base = 100,
Consumer Price Index,1930 April,Base November 1989=100,Base = 100,
Consumer Price Index,1930 April,Base November 1996=100,Base = 100,
Consumer Price Index,1930 April,Base December 2001=100,Base = 100,
Consumer Price Index,1930 April,Base December 2006=100,Base = 100,
Consumer Price Index,1930 April,Base December 2011=100,Base = 100,
Consumer Price Index,1930 April,Base December 2016=100,Base = 100,
Consumer Price Index,1930 April,Base December 2023=100,Base = 100,
Consumer Price Index,1930 May,Base July 1914=100,Base = 100,168
Consumer Price Index,1930 May,Base August 1947=100,Base = 100,
Consumer Price Index,1930 May,Base August 1953=100,Base = 100,
Consumer Price Index,1930 May,Base November 1968=100,Base = 100,
Consumer Price Index,1930 May,Base November 1975=100,Base = 100,
Consumer Price Index,1930 May,Base November 1982=100,Base = 100,
Consumer Price Index,1930 May,Base November 1989=100,Base = 100,
Consumer Price Index,1930 May,Base November 1996=100,Base = 100,
Consumer Price Index,1930 May,Base December 2001=100,Base = 100,
Consumer Price Index,1930 May,Base December 2006=100,Base = 100,
Consumer Price Index,1930 May,Base December 2011=100,Base = 100,
Consumer Price Index,1930 May,Base December 2016=100,Base = 100,
Consumer Price Index,1930 May,Base December 2023=100,Base = 100,
Consumer Price Index,1930 June,Base July 1914=100,Base = 100,168
Consumer Price Index,1930 June,Base August 1947=100,Base = 100,
Consumer Price Index,1930 June,Base August 1953=100,Base = 100,
Consumer Price Index,1930 June,Base November 1968=100,Base = 100,
Consumer Price Index,1930 June,Base November 1975=100,Base = 100,
Consumer Price Index,1930 June,Base November 1982=100,Base = 100,
Consumer Price Index,1930 June,Base November 1989=100,Base = 100,
Consumer Price Index,1930 June,Base November 1996=100,Base = 100,
Consumer Price Index,1930 June,Base December 2001=100,Base = 100,
Consumer Price Index,1930 June,Base December 2006=100,Base = 100,
Consumer Price Index,1930 June,Base December 2011=100,Base = 100,
Consumer Price Index,1930 June,Base December 2016=100,Base = 100,
Consumer Price Index,1930 June,Base December 2023=100,Base = 100,
Consumer Price Index,1930 July,Base July 1914=100,Base = 100,168
Consumer Price Index,1930 July,Base August 1947=100,Base = 100,
Consumer Price Index,1930 July,Base August 1953=100,Base = 100,
Consumer Price Index,1930 July,Base November 1968=100,Base = 100,
Consumer Price Index,1930 July,Base November 1975=100,Base = 100,
Consumer Price Index,1930 July,Base November 1982=100,Base = 100,
Consumer Price Index,1930 July,Base November 1989=100,Base = 100,
Consumer Price Index,1930 July,Base November 1996=100,Base = 100,
Consumer Price Index,1930 July,Base December 2001=100,Base = 100,
Consumer Price Index,1930 July,Base December 2006=100,Base = 100,
Consumer Price Index,1930 July,Base December 2011=100,Base = 100,
Consumer Price Index,1930 July,Base December 2016=100,Base = 100,
Consumer Price Index,1930 July,Base December 2023=100,Base = 100,
Consumer Price Index,1930 August,Base July 1914=100,Base = 100,168
Consumer Price Index,1930 August,Base August 1947=100,Base = 100,
Consumer Price Index,1930 August,Base August 1953=100,Base = 100,
Consumer Price Index,1930 August,Base November 1968=100,Base = 100,
Consumer Price Index,1930 August,Base November 1975=100,Base = 100,
Consumer Price Index,1930 August,Base November 1982=100,Base = 100,
Consumer Price Index,1930 August,Base November 1989=100,Base = 100,
Consumer Price Index,1930 August,Base November 1996=100,Base = 100,
Consumer Price Index,1930 August,Base December 2001=100,Base = 100,
Consumer Price Index,1930 August,Base December 2006=100,Base = 100,
Consumer Price Index,1930 August,Base December 2011=100,Base = 100,
Consumer Price Index,1930 August,Base December 2016=100,Base = 100,
Consumer Price Index,1930 August,Base December 2023=100,Base = 100,
Consumer Price Index,1930 September,Base July 1914=100,Base = 100,168
Consumer Price Index,1930 September,Base August 1947=100,Base = 100,
Consumer Price Index,1930 September,Base August 1953=100,Base = 100,
Consumer Price Index,1930 September,Base November 1968=100,Base = 100,
Consumer Price Index,1930 September,Base November 1975=100,Base = 100,
Consumer Price Index,1930 September,Base November 1982=100,Base = 100,
Consumer Price Index,1930 September,Base November 1989=100,Base = 100,
Consumer Price Index,1930 September,Base November 1996=100,Base = 100,
Consumer Price Index,1930 September,Base December 2001=100,Base = 100,
Consumer Price Index,1930 September,Base December 2006=100,Base = 100,
Consumer Price Index,1930 September,Base December 2011=100,Base = 100,
Consumer Price Index,1930 September,Base December 2016=100,Base = 100,
Consumer Price Index,1930 September,Base December 2023=100,Base = 100,
Consumer Price Index,1930 October,Base July 1914=100,Base = 100,168
Consumer Price Index,1930 October,Base August 1947=100,Base = 100,
Consumer Price Index,1930 October,Base August 1953=100,Base = 100,
Consumer Price Index,1930 October,Base November 1968=100,Base = 100,
Consumer Price Index,1930 October,Base November 1975=100,Base = 100,
Consumer Price Index,1930 October,Base November 1982=100,Base = 100,
Consumer Price Index,1930 October,Base November 1989=100,Base = 100,
Consumer Price Index,1930 October,Base November 1996=100,Base = 100,
Consumer Price Index,1930 October,Base December 2001=100,Base = 100,
Consumer Price Index,1930 October,Base December 2006=100,Base = 100,
Consumer Price Index,1930 October,Base December 2011=100,Base = 100,
Consumer Price Index,1930 October,Base December 2016=100,Base = 100,
Consumer Price Index,1930 October,Base December 2023=100,Base = 100,
Consumer Price Index,1930 November,Base July 1914=100,Base = 100,168
Consumer Price Index,1930 November,Base August 1947=100,Base = 100,
Consumer Price Index,1930 November,Base August 1953=100,Base = 100,
Consumer Price Index,1930 November,Base November 1968=100,Base = 100,
Consumer Price Index,1930 November,Base November 1975=100,Base = 100,
Consumer Price Index,1930 November,Base November 1982=100,Base = 100,
Consumer Price Index,1930 November,Base November 1989=100,Base = 100,
Consumer Price Index,1930 November,Base November 1996=100,Base = 100,
Consumer Price Index,1930 November,Base December 2001=100,Base = 100,
Consumer Price Index,1930 November,Base December 2006=100,Base = 100,
Consumer Price Index,1930 November,Base December 2011=100,Base = 100,
Consumer Price Index,1930 November,Base December 2016=100,Base = 100,
Consumer Price Index,1930 November,Base December 2023=100,Base = 100,
Consumer Price Index,1930 December,Base July 1914=100,Base = 100,168
Consumer Price Index,1930 December,Base August 1947=100,Base = 100,
Consumer Price Index,1930 December,Base August 1953=100,Base = 100,
Consumer Price Index,1930 December,Base November 1968=100,Base = 100,
Consumer Price Index,1930 December,Base November 1975=100,Base = 100,
Consumer Price Index,1930 December,Base November 1982=100,Base = 100,
Consumer Price Index,1930 December,Base November 1989=100,Base = 100,
Consumer Price Index,1930 December,Base November 1996=100,Base = 100,
Consumer Price Index,1930 December,Base December 2001=100,Base = 100,
Consumer Price Index,1930 December,Base December 2006=100,Base = 100,
Consumer Price Index,1930 December,Base December 2011=100,Base = 100,
Consumer Price Index,1930 December,Base December 2016=100,Base = 100,
Consumer Price Index,1930 December,Base December 2023=100,Base = 100,
Consumer Price Index,1931 January,Base July 1914=100,Base = 100,164
Consumer Price Index,1931 January,Base August 1947=100,Base = 100,
Consumer Price Index,1931 January,Base August 1953=100,Base = 100,
Consumer Price Index,1931 January,Base November 1968=100,Base = 100,
Consumer Price Index,1931 January,Base November 1975=100,Base = 100,
Consumer Price Index,1931 January,Base November 1982=100,Base = 100,
Consumer Price Index,1931 January,Base November 1989=100,Base = 100,
Consumer Price Index,1931 January,Base November 1996=100,Base = 100,
Consumer Price Index,1931 January,Base December 2001=100,Base = 100,
Consumer Price Index,1931 January,Base December 2006=100,Base = 100,
Consumer Price Index,1931 January,Base December 2011=100,Base = 100,
Consumer Price Index,1931 January,Base December 2016=100,Base = 100,
Consumer Price Index,1931 January,Base December 2023=100,Base = 100,
Consumer Price Index,1931 February,Base July 1914=100,Base = 100,164
Consumer Price Index,1931 February,Base August 1947=100,Base = 100,
Consumer Price Index,1931 February,Base August 1953=100,Base = 100,
Consumer Price Index,1931 February,Base November 1968=100,Base = 100,
Consumer Price Index,1931 February,Base November 1975=100,Base = 100,
Consumer Price Index,1931 February,Base November 1982=100,Base = 100,
Consumer Price Index,1931 February,Base November 1989=100,Base = 100,
Consumer Price Index,1931 February,Base November 1996=100,Base = 100,
Consumer Price Index,1931 February,Base December 2001=100,Base = 100,
Consumer Price Index,1931 February,Base December 2006=100,Base = 100,
Consumer Price Index,1931 February,Base December 2011=100,Base = 100,
Consumer Price Index,1931 February,Base December 2016=100,Base = 100,
Consumer Price Index,1931 February,Base December 2023=100,Base = 100,
Consumer Price Index,1931 March,Base July 1914=100,Base = 100,164
Consumer Price Index,1931 March,Base August 1947=100,Base = 100,
Consumer Price Index,1931 March,Base August 1953=100,Base = 100,
Consumer Price Index,1931 March,Base November 1968=100,Base = 100,
Consumer Price Index,1931 March,Base November 1975=100,Base = 100,
Consumer Price Index,1931 March,Base November 1982=100,Base = 100,
Consumer Price Index,1931 March,Base November 1989=100,Base = 100,
Consumer Price Index,1931 March,Base November 1996=100,Base = 100,
Consumer Price Index,1931 March,Base December 2001=100,Base = 100,
Consumer Price Index,1931 March,Base December 2006=100,Base = 100,
Consumer Price Index,1931 March,Base December 2011=100,Base = 100,
Consumer Price Index,1931 March,Base December 2016=100,Base = 100,
Consumer Price Index,1931 March,Base December 2023=100,Base = 100,
Consumer Price Index,1931 April,Base July 1914=100,Base = 100,156
